event_date,country,admin1,location,latitude,longitude,event_type,sub_event_type,fatalities
2024-04-17,Iraq,Ninewa,Hatra,35.5729,42.7339,Strategic developments,Change to group/activity,0
2024-04-16,Iraq,Al Muthanna,Al Majd,31.4056,45.171,Protests,Peaceful protest,0
2024-04-13,Iraq,Thi Qar,Nassriya,31.058,46.2573,Riots,Violent demonstration,0
2024-04-16,Iraq,Thi Qar,Sayyid Dakhil,31.6713,46.0993,Riots,Violent demonstration,0
2024-04-18,Iraq,Al Muthanna,As Samawah,31.3059,45.2799,Protests,Peaceful protest,0
2024-04-16,Iraq,Erbil,Koisnjaq,36.0831,44.6333,Protests,Peaceful protest,0
2024-04-14,Iraq,Al Anbar,Al Qaim,34.3669,41.1389,Battles,Armed clash,1
2024-01-01,Iraq,Al Basrah,Basrah,30.533,47.7975,Strategic developments,Arrests,0
2024-01-02,Iraq,Al Basrah,Basrah,30.533,47.7975,Protests,Peaceful protest,0
2024-01-01,Iraq,Al Basrah,Basrah,30.533,47.7975,Explosions/Remote violence,Remote explosive/landmine/IED,0
2024-01-10,Iraq,Al Basrah,Basrah,30.533,47.7975,Strategic developments,Change to group/activity,0
2024-01-07,Iraq,Al Basrah,Basrah,30.533,47.7975,Protests,Peaceful protest,0
2024-01-11,Iraq,Al Basrah,Basrah,30.533,47.7975,Protests,Peaceful protest,0
2024-01-12,Iraq,Al Basrah,Basrah,30.533,47.7975,Protests,Peaceful protest,0
2024-01-18,Iraq,Al Basrah,Basrah,30.533,47.7975,Strategic developments,Change to group/activity,0
2024-01-19,Iraq,Al Basrah,Basrah,30.533,47.7975,Battles,Armed clash,0
2024-02-01,Iraq,Al Basrah,Basrah,30.533,47.7975,Protests,Protest with intervention,0
2024-02-22,Iraq,Al Basrah,Basrah,30.533,47.7975,Protests,Peaceful protest,0
2024-02-20,Iraq,Al Basrah,Basrah,30.533,47.7975,Protests,Protest with intervention,0
2024-02-22,Iraq,Al Basrah,Basrah,30.533,47.7975,Strategic developments,Arrests,0
2024-02-27,Iraq,Al Basrah,Basrah,30.533,47.7975,Protests,Peaceful protest,0
2024-02-29,Iraq,Al Basrah,Basrah,30.533,47.7975,Protests,Peaceful protest,0
2024-03-02,Iraq,Al Basrah,Basrah,30.533,47.7975,Protests,Peaceful protest,0
2024-03-06,Iraq,Al Basrah,Basrah,30.533,47.7975,Protests,Peaceful protest,0
2024-03-08,Iraq,Al Basrah,Basrah,30.533,47.7975,Protests,Peaceful protest,0
2024-03-02,Iraq,Al Basrah,Basrah,30.533,47.7975,Protests,Peaceful protest,0
2024-03-03,Iraq,Al Basrah,Basrah,30.533,47.7975,Protests,Peaceful protest,0
2024-03-09,Iraq,Al Basrah,Basrah,30.533,47.7975,Protests,Peaceful protest,0
2024-03-14,Iraq,Al Basrah,Basrah,30.533,47.7975,Protests,Peaceful protest,0
2024-03-22,Iraq,Al Basrah,Basrah,30.533,47.7975,Protests,Peaceful protest,0
2024-03-23,Iraq,Al Basrah,Basrah,30.533,47.7975,Protests,Peaceful protest,0
2024-03-24,Iraq,Al Basrah,Basrah,30.533,47.7975,Strategic developments,Arrests,0
2024-03-24,Iraq,Al Basrah,Basrah,30.533,47.7975,Strategic developments,Arrests,0
2024-03-27,Iraq,Al Basrah,Basrah,30.533,47.7975,Protests,Peaceful protest,0
2024-03-29,Iraq,Al Basrah,Basrah,30.533,47.7975,Strategic developments,Arrests,0
2024-03-30,Iraq,Al Basrah,Basrah,30.533,47.7975,Strategic developments,Arrests,0
2024-04-01,Iraq,Al Basrah,Basrah,30.533,47.7975,Battles,Armed clash,0
2024-04-01,Iraq,Al Basrah,Basrah,30.533,47.7975,Protests,Peaceful protest,0
2024-04-02,Iraq,Al Basrah,Basrah,30.533,47.7975,Protests,Peaceful protest,0
2024-04-05,Iraq,Al Basrah,Basrah,30.533,47.7975,Strategic developments,Arrests,0
2024-04-09,Iraq,Al Basrah,Basrah,30.533,47.7975,Protests,Peaceful protest,0
2024-04-16,Iraq,Al Basrah,Basrah,30.533,47.7975,Violence against civilians,Attack,1
